,Geneid,bwa,kallisto,star
18351,BLCAP_8149,136,134,131
18352,BLMH_8150,92,88,82
18353,BLVRA_8151,6,3,3
18354,BMF_8152,8,8,7
18355,BMP4_8153,4,0,0
18356,BNIP3_8154,169,167,159
18357,BPHL_8157,18,16,15
18358,BRCA1_8158,5,5,5
18359,BTG2_8161,58,57,54
18360,BTK_8162,0,0,0
18361,BUB1_8163,0,0,0
18362,BZW2_8165,27,23,18
18363,C1QB_8168,7,3,3
18364,C1QBP_8169,409,406,370
18365,C1QC_8170,8,6,5
18366,C1S_8172,57,56,52
18367,C2CD2_8173,9,9,8
18368,C2CD2L_8174,77,75,69
18369,C3_8175,3411,3351,3107
18370,C4A_8176,46,46,40
18371,C4BPB_8177,13,13,12
18372,C7_8179,0,0,0
18373,C8A_8180,101,100,89
18374,C8B_8181,14,14,13
18375,C8G_8182,158,158,148
18376,C9_8183,622,610,578
18377,CALR_8190,2147,2092,1974
18378,CALU_8191,1772,1733,1618
18379,CAMSAP2_8192,167,159,157
18380,CANT1_8193,70,66,64
18381,CAPN1_8194,0,0,0
18382,CAR3_8196,68,67,65
18383,CASK_8198,18,16,16
18384,CASP2_8200,67,64,62
18385,CASP3_8201,134,130,117
18386,CASP7_8203,145,140,132
18387,CAST_8205,606,594,560
18388,CAT_8206,2215,2182,2064
18389,CBLB_8207,6,6,6
18390,CBR1_8208,1373,1337,1245
18391,CBR3_8209,0,0,0
18392,CCDC85B_8214,1,1,1
18393,CCDC86_8215,63,59,58
18394,CCDC92_8216,6,6,6
18395,CCL2_8218,4,4,3
18396,CCL4_8219,0,0,0
18397,CCNA1_8220,3,0,0
18398,CCNA2_8221,8,5,5
18399,CCNB1_8222,0,0,0
18400,CCNB2_8223,3,3,3
18401,CCND1_8224,2,1,1
18402,CCNE2_8227,3,1,1
18403,CCNF_8228,8,7,7
18404,CCNH_8229,175,167,154
18405,CCP110_8230,23,20,19
18406,CCRN4L_8232,20,19,19
18407,CCT2_8233,155,153,144
18408,CCT7_8237,173,169,158
18409,CD320_8242,19,18,18
18410,CD36_8243,13,13,13
18411,CD3G_8245,0,0,0
18412,CD44_8248,4,3,3
18413,CD53_8250,0,0,0
18414,CD68_8251,51,51,46
18415,CD74_8252,4,3,3
18416,CDC25B_8257,1,0,0
18417,CDC45_8259,3,0,0
18418,CDCA3_8260,9,1,1
18419,CDCA4_8261,10,9,9
18420,CDH1_8262,133,130,117
18421,CDH3_8263,0,0,0
18422,CDK1_8264,1,0,0
18423,CDK19_8265,7,7,5
18424,CDK2_8266,9,7,7
18425,CDK4_8267,343,339,318
18426,CDK5R1_8268,1,0,0
18427,CDK6_8269,21,21,19
