Geneid,rat_DMF_hi_RPH_6_S54_L002_R1_001
ENSRNOT00000015776_35104,6
ENSRNOT00000079554_35105,96
ENSRNOT00000073918_35106,0
ENSRNOT00000010536_35107,20
ENSRNOT00000020411_35108,0
ENSRNOT00000075988_35109,7
ENSRNOT00000051727_35110,0
ENSRNOT00000087739_35111,0
ENSRNOT00000080145_35112,0
ENSRNOT00000025411_35113,25
ENSRNOT00000001263_35114,14
ENSRNOT00000090913_35115,0
ENSRNOT00000022329_35116,0
ENSRNOT00000057924_35117,0
ENSRNOT00000025008_35118,95
ENSRNOT00000058358_35119,0
ENSRNOT00000028158_35120,30
ENSRNOT00000090376_35121,73
ENSRNOT00000064853_35122,0
ENSRNOT00000039524_35123,0
ENSRNOT00000049155_35124,0
ENSRNOT00000003519_35125,5
ENSRNOT00000080694_35126,0
ENSRNOT00000008785_35127,69
ENSRNOT00000035523_35128,229
ENSRNOT00000079841_35129,106
ENSRNOT00000090704_35130,0
ENSRNOT00000043752_35131,308
ENSRNOT00000023946_35132,0
ENSRNOT00000074370_35133,0
ENSRNOT00000082898_35134,0
ENSRNOT00000004677_35135,0
ENSRNOT00000072649_35136,0
ENSRNOT00000017784_35137,0
ENSRNOT00000026728_35138,1178
ENSRNOT00000005798_35139,100
ENSRNOT00000075832_35140,0
ENSRNOT00000088104_35141,19
ENSRNOT00000088306_35142,26
ENSRNOT00000017340_35143,0
ENSRNOT00000033491_35144,1
ENSRNOT00000020532_35145,0
ENSRNOT00000007711_35146,4
ENSRNOT00000059663_35147,1
ENSRNOT00000006007_35148,0
ENSRNOT00000043271_35149,273
ENSRNOT00000079567_35150,0
ENSRNOT00000086330_35151,1077
ENSRNOT00000038511_35152,116
ENSRNOT00000051936_35153,0
ENSRNOT00000055227_35154,0
ENSRNOT00000045286_35155,0
ENSRNOT00000031692_35156,0
ENSRNOT00000005917_35157,6
ENSRNOT00000074727_35158,44
ENSRNOT00000092333_35159,15
ENSRNOT00000017018_35160,114
ENSRNOT00000042026_35161,0
ENSRNOT00000085756_35162,0
ENSRNOT00000001764_35163,221
ENSRNOT00000006450_35164,0
ENSRNOT00000000199_35165,5
ENSRNOT00000022487_35166,22
ENSRNOT00000044960_35167,0
ENSRNOT00000073597_35168,57
ENSRNOT00000047861_35169,128
ENSRNOT00000066104_35170,9
ENSRNOT00000004260_35171,3
ENSRNOT00000043100_35172,29
ENSRNOT00000049082_35173,16
ENSRNOT00000071226_35174,3
ENSRNOT00000056644_35175,40
ENSRNOT00000028246_35176,1
ENSRNOT00000029167_35177,0
ENSRNOT00000014519_35178,0
ENSRNOT00000034708_35179,12
ENSRNOT00000024568_35180,1074
ENSRNOT00000020042_35181,125
ENSRNOT00000003451_35182,0
ENSRNOT00000075092_35183,0
ENSRNOT00000077662_35184,15
ENSRNOT00000010746_35185,0
ENSRNOT00000022779_35186,49
ENSRNOT00000051065_35187,0
ENSRNOT00000002187_35188,1
ENSRNOT00000034756_35189,1
ENSRNOT00000000279_35190,6
ENSRNOT00000009970_35191,223
ENSRNOT00000030244_35192,7
ENSRNOT00000007610_35193,0
ENSRNOT00000084177_35194,221
ENSRNOT00000036098_35195,2
ENSRNOT00000024245_35196,17
ENSRNOT00000049811_35197,1330
ENSRNOT00000092667_35198,3
ENSRNOT00000019923_35199,27
ENSRNOT00000033080_35200,16
ENSRNOT00000035653_35201,0
ENSRNOT00000066740_35202,0
ENSRNOT00000071242_35203,0
ENSRNOT00000021496_35204,10
ENSRNOT00000079201_35205,5
ENSRNOT00000016042_35206,163
ENSRNOT00000010061_35207,2300
ENSRNOT00000021893_35208,0
ENSRNOT00000006443_35209,785
ENSRNOT00000073764_35210,0
ENSRNOT00000007736_35211,406
ENSRNOT00000035280_35212,494
ENSRNOT00000005622_35213,1
ENSRNOT00000071511_35214,9
ENSRNOT00000011277_35215,0
ENSRNOT00000090298_35216,0
ENSRNOT00000076729_35217,34
ENSRNOT00000072934_35218,0
ENSRNOT00000021008_35219,0
ENSRNOT00000027251_35220,0
ENSRNOT00000082912_35221,0
ENSRNOT00000013344_35222,355
ENSRNOT00000054724_35223,1343
ENSRNOT00000041039_35224,0
ENSRNOT00000058389_35225,0
ENSRNOT00000067314_35226,102
ENSRNOT00000087866_35227,0
ENSRNOT00000026216_35228,0
ENSRNOT00000012017_35229,1
ENSRNOT00000043006_35230,0
ENSRNOT00000027347_35231,2
